"keys","en","vi"
"DED_PROTO_X_TRUTH_SUMMARY","Mara left at 19:35, forgetting her cardigan with the badge clipped on. Oren signed it out of lost property at 19:48, entered the stacks wing alone at 19:51, used the badge at 20:06 to take the ledger, forced the window from inside at 20:08, left the wing at 20:13 and handed the cardigan back at 20:14. Ilse's box was routine shredding; she lied about leaving early to hide unlogged overtime.","Mara rời đi lúc 19:35, quên áo cardigan có kẹp thẻ. Oren nhận nó từ quầy đồ thất lạc lúc 19:48, một mình vào khu kho sách lúc 19:51, dùng thẻ lúc 20:06 để lấy cuốn sổ cái, phá cửa sổ từ bên trong lúc 20:08, rời khu kho lúc 20:13 rồi trả áo lúc 20:14. Thùng của Ilse chỉ là giấy hủy thường lệ; cô nói dối là về sớm để che giấu giờ làm thêm không ghi sổ."
"DED_PROTO_X_PROTOA_EXP_DENIAL","Oren said he never had anything belonging to Mara — but the lost-property sheet shows he personally signed her cardigan out at 19:48 and handed it back at 20:14. You can't have 'never had' something a signed record puts in your hands for twenty-six minutes.","Oren nói anh ta chưa từng có bất cứ thứ gì của Mara — nhưng tờ biên nhận đồ thất lạc cho thấy chính anh ta đã ký nhận chiếc áo cardigan lúc 19:48 và trả lại lúc 20:14. Không thể nói là 'chưa từng có' một thứ mà biên nhận cho thấy đã ở trong tay anh ta suốt hai mươi sáu phút."
"DED_PROTO_X_PROTOA_RESP_DENIAL","Oren's composure slips. 'Fine — I signed for it. That doesn't mean I did anything with it.'","Vẻ bình tĩnh của Oren chùng xuống. 'Được rồi — tôi có ký nhận nó. Nhưng điều đó không có nghĩa là tôi đã làm gì với nó.'"
"DED_PROTO_X_PROTOA_HINT_DENIAL_1","Oren insists he never had anything of Mara's. Is there a written record of who borrowed her things?","Oren khăng khăng rằng anh ta chưa từng có thứ gì của Mara. Có bản ghi chép nào về việc ai đã mượn đồ của cô ấy không?"
"DED_PROTO_X_PROTOA_HINT_DENIAL_2","Look for a log about items signed in and out of lost property.","Tìm một cuốn sổ ghi lại việc đồ vật được ký nhận và trả lại ở quầy đồ thất lạc."
"DED_PROTO_X_PROTOA_HINT_DENIAL_3","Review the lost-property sheet.","Xem lại tờ biên nhận đồ thất lạc."
"DED_PROTO_X_PROTOA_HINT_DENIAL_4","The lost-property sheet shows Oren himself signed the cardigan — with Mara's badge still clipped to it — out under his own name.","Tờ biên nhận đồ thất lạc cho thấy chính Oren đã ký nhận chiếc áo cardigan — vẫn còn kẹp thẻ của Mara — dưới tên của mình."
"DED_PROTO_X_PROTOA_EXP_BREAKIN","Oren claims an outsider forced the window from the courtyard — but the forced-window inspection shows the frame dust settled on top of footprints that already led to the shelf. Those footprints existed before the window was forced, which means someone was already inside walking toward the shelf beforehand. Nobody broke in from outside; the window was forced afterward, from inside, to look like an entry.","Oren khẳng định có kẻ lạ đã phá cửa sổ từ phía sân trong — nhưng khi kiểm tra cửa sổ bị phá, lớp bụi từ khung cửa lại rơi đè lên những dấu chân đã có sẵn dẫn đến kệ sách. Những dấu chân đó đã tồn tại trước khi cửa sổ bị phá, nghĩa là đã có người ở bên trong đi về phía kệ sách từ trước. Không ai đột nhập từ bên ngoài cả; cửa sổ bị phá sau đó, từ bên trong, để tạo cảm giác như có người đột nhập."
"DED_PROTO_X_PROTOA_RESP_BREAKIN","Oren's voice cracks. 'The footprints — that doesn't prove anything!' It very much does.","Giọng Oren lạc đi. 'Mấy dấu chân đó — điều đó chẳng chứng minh được gì cả!' Trên thực tế thì có."
"DED_PROTO_X_PROTOA_HINT_BREAKIN_1","Oren says an outsider forced their way in through the window. Look closely at the order things happened at that window.","Oren nói có kẻ lạ đã phá cửa sổ để đột nhập. Hãy xem kỹ trình tự các việc đã xảy ra ở cửa sổ đó."
"DED_PROTO_X_PROTOA_HINT_BREAKIN_2","Compare when the footprints were left to when the window was actually forced.","So sánh thời điểm để lại dấu chân với thời điểm cửa sổ thực sự bị phá."
"DED_PROTO_X_PROTOA_HINT_BREAKIN_3","Review the forced-window inspection.","Xem lại kết quả kiểm tra cửa sổ bị phá."
"DED_PROTO_X_PROTOA_HINT_BREAKIN_4","The frame dust from forcing the window lies on top of footprints that were already there — the window was forced after someone had already walked to the shelf, not before.","Lớp bụi từ khung cửa khi bị phá lại nằm đè lên những dấu chân đã có từ trước — cửa sổ bị phá sau khi có người đã đi đến kệ sách, chứ không phải trước đó."
"DED_PROTO_X_PROTOA_EXP_ILSE","Ilse claimed she locked up and left at 19:45 — but the shredding contractor's log shows she personally handed over a box at about 20:10, twenty-five minutes after she says she'd already gone.","Ilse khai rằng cô đã khóa cửa và rời đi lúc 19:45 — nhưng sổ ghi chép của nhà thầu hủy giấy cho thấy chính cô đã đưa một thùng giấy lúc khoảng 20:10, tức hai mươi lăm phút sau khi cô nói mình đã rời đi."
"DED_PROTO_X_PROTOA_RESP_ILSE","Ilse goes red. 'Okay — I stayed to finish some unpaid overtime. I didn't want my supervisor to know.' It has nothing to do with the ledger.","Ilse đỏ mặt. 'Được rồi — tôi ở lại làm thêm giờ không công. Tôi không muốn cấp trên biết chuyện đó.' Điều này chẳng liên quan gì đến cuốn sổ cái."
"DED_PROTO_X_PROTOA_COMPLETION","Oren's testimony falls apart on both counts: the lost-property sheet puts Mara's badge in his hands, and the forced window was staged from inside after he'd already been at the shelf. His story of never touching the cardigan and of an outside break-in are both exposed as lies.","Lời khai của Oren sụp đổ ở cả hai điểm: tờ biên nhận đồ thất lạc đặt chiếc thẻ của Mara vào tay anh ta, còn cửa sổ bị phá lại được dàn dựng từ bên trong sau khi anh ta đã có mặt ở kệ sách. Cả câu chuyện 'chưa từng động vào chiếc áo' lẫn 'có kẻ đột nhập từ bên ngoài' của anh ta đều bị vạch trần là dối trá."
"DED_PROTO_Y_NAME","[Prototype Y] The Swapped Sample","[Nguyên mẫu Y] Mẫu Xét Nghiệm Bị Tráo"
"DED_PROTO_Y_DESC","Non-canon dummy mystery for deduction playtests. A sample vial in a research lab's cold room was relabelled and swapped overnight.","Vụ án giả lập không thuộc cốt truyện, chỉ dùng để thử nghiệm suy luận. Một lọ mẫu trong phòng lạnh của phòng thí nghiệm đã bị dán lại nhãn và tráo trong đêm."
"DED_PROTO_Y_SUS_TEODOR_NAME","Teodor Lind (lab technician)","Teodor Lind (kỹ thuật viên phòng thí nghiệm)"
"DED_PROTO_Y_SUS_PRIYA_NAME","Priya Anand (postdoctoral researcher)","Priya Anand (nghiên cứu viên sau tiến sĩ)"
"DED_PROTO_Y_SUS_BRUNO_NAME","Bruno Keller (night cleaner)","Bruno Keller (nhân viên dọn dẹp ca đêm)"
"DED_PROTO_Y_Q_OWNER_TEXT","Could Teodor have used his own key card at 21:12?","Liệu Teodor có thể đã tự dùng thẻ từ của mình lúc 21:12 không?"
"DED_PROTO_Y_Q_ACCESS_TEXT","Who could have presented Teodor's key card at 21:12?","Ai có thể đã quẹt thẻ từ của Teodor lúc 21:12?"
"DED_PROTO_Y_Q_STAGING_TEXT","What does the forced vent hatch really show?","Nắp thông gió bị phá thực sự cho thấy điều gì?"
"DED_PROTO_Y_Q_CULPRIT_TEXT","Who swapped the sample, and how was it covered up?","Ai đã tráo mẫu, và việc đó đã được che đậy thế nào?"
"DED_PROTO_Y_E_COLD_ROOM_LOG_NAME","Cold-room lock log","Nhật ký khóa phòng lạnh"
"DED_PROTO_Y_E_COLD_ROOM_LOG_TEXT","Lock log: Teodor Lind's key card opened the cold room, off the cold-store corridor, at 21:12. Cards work only when held to the reader; they cannot be copied, and doors cannot be opened remotely.","Nhật ký khóa: thẻ từ của Teodor Lind đã mở phòng lạnh, nằm trong hành lang kho lạnh, lúc 21:12. Thẻ chỉ hoạt động khi áp trực tiếp vào đầu đọc; thẻ không thể sao chép và cửa không thể mở từ xa."
"DED_PROTO_Y_E_GYM_SCAN_NAME","Teodor's gym check-in","Lượt vào phòng gym của Teodor"
"DED_PROTO_Y_E_GYM_SCAN_TEXT","Gym entry system: Teodor's membership tag checked in at Riverside Gym at 21:09. The desk camera shows Teodor himself at the turnstile.","Hệ thống ra vào phòng gym: thẻ hội viên của Teodor quẹt vào Riverside Gym lúc 21:09. Camera ở quầy cho thấy chính Teodor đứng ở cửa xoay."
"DED_PROTO_Y_E_CLASS_PHOTO_NAME","Spin-class photo","Ảnh lớp đạp xe"
"DED_PROTO_Y_E_CLASS_PHOTO_TEXT","The instructor's photo shows Teodor on bike 7 in Riverside Gym's spin studio; the studio clock behind him reads 21:10.","Bức ảnh của huấn luyện viên cho thấy Teodor ngồi xe số 7 trong phòng đạp xe của Riverside Gym; đồng hồ phòng tập phía sau anh chỉ 21:10."
"DED_PROTO_Y_E_SHUTTLE_NOTE_NAME","Campus shuttle timetable","Lịch xe đưa đón khuôn viên"
"DED_PROTO_Y_E_SHUTTLE_NOTE_TEXT","The fastest trip between Riverside Gym and the lab building takes 20 minutes, even by car.","Chuyến đi nhanh nhất giữa Riverside Gym và tòa nhà phòng thí nghiệm mất 20 phút, kể cả đi ô tô."
"DED_PROTO_Y_E_COAT_RACK_SHEET_NAME","Lab-coat laundry sheet","Sổ giặt áo blouse"
"DED_PROTO_Y_E_COAT_RACK_SHEET_TEXT","Bruno's laundry sheet: 20:55 'T. Lind's lab coat, key card in pocket — borrowed by P. Anand, will pass it on to him'. 21:25 'coat returned by P. Anand'.","Sổ giặt do Bruno ghi: 20:55 'áo blouse của T. Lind, thẻ từ trong túi — P. Anand mượn, hứa chuyển lại cho anh ấy'. 21:25 'P. Anand trả lại áo'."
"DED_PROTO_Y_E_CORRIDOR_CAMERA_NAME","Cold-store corridor camera log","Nhật ký camera hành lang kho lạnh"
"DED_PROTO_Y_E_CORRIDOR_CAMERA_TEXT","Camera on the cold-store corridor's only entrance: the 20:30 stock check finds the corridor empty and locks it; 20:59 Priya walks in wearing a lab coat; 21:20 she walks out still wearing it. Nobody else enters or leaves the corridor between 20:30 and 21:40.","Camera ở lối vào duy nhất của hành lang kho lạnh: đợt kiểm kho lúc 20:30 xác nhận hành lang trống người và khóa lại; 20:59 Priya đi vào, mặc áo blouse; 21:20 cô ta đi ra, vẫn mặc chiếc áo đó. Không ai khác ra vào hành lang này từ 20:30 đến 21:40."
"DED_PROTO_Y_E_OPEN_HATCH_NAME","Forced vent hatch","Nắp thông gió bị phá"
"DED_PROTO_Y_E_OPEN_HATCH_TEXT","The cold room's vent hatch has been forced open, and a sample checked at the 20:30 stock check has been relabelled and swapped. Dust shaken from the hatch lies on top of fresh scuffs leading to the sample rack; the dust inside the hatch opening is undisturbed.","Nắp thông gió của phòng lạnh bị phá mở, và một mẫu đã được kiểm lúc kiểm kho 20:30 nay bị dán lại nhãn và tráo. Bụi rơi từ nắp nằm đè lên những vết cọ mới dẫn tới giá mẫu; lớp bụi bên trong miệng nắp vẫn nguyên vẹn."
"DED_PROTO_Y_E_HATCH_DIAGRAM_NAME","Vent-hatch maintenance diagram","Sơ đồ bảo trì nắp thông gió"
"DED_PROTO_Y_E_HATCH_DIAGRAM_TEXT","Illustrated maintenance diagram: when the vent hatch is forced open, its retaining tabs bend away from the side the force came from.","Sơ đồ bảo trì có hình minh họa: khi nắp thông gió bị phá mở, các lẫy giữ của nó bị cong về phía ngược với phía lực tác động."
"DED_PROTO_Y_E_HATCH_TABS_NAME","The hatch's retaining tabs","Các lẫy giữ của nắp"
"DED_PROTO_Y_E_HATCH_TABS_TEXT","The hatch's retaining tabs are bent outward, into the duct.","Các lẫy giữ của nắp bị cong ra ngoài, vào trong ống gió."
"DED_PROTO_Y_E_LOADING_BAY_FOOTAGE_NAME","Loading-bay camera","Camera khu bốc dỡ"
"DED_PROTO_Y_E_LOADING_BAY_FOOTAGE_TEXT","Loading-bay camera, around 21:18: Bruno wheels a sealed biohazard bin outside. Its audio picks up a metal clang from the cold room a few minutes after 21:10, but not while Bruno is in frame.","Camera khu bốc dỡ, khoảng 21:18: Bruno đẩy một thùng rác sinh học niêm phong ra ngoài. Âm thanh ghi được một tiếng kim loại va từ phòng lạnh lúc hơn 21:10 vài phút, nhưng không phải lúc Bruno đang trong khung hình."
"DED_PROTO_Y_E_WASTE_MANIFEST_NAME","Waste collection manifest","Phiếu thu gom chất thải"
"DED_PROTO_Y_E_WASTE_MANIFEST_TEXT","Contractor's manifest: about 21:18, one sealed bin of routine glassware waste collected from Lab 2, handed over by B. Keller.","Phiếu của bên thu gom: khoảng 21:18, nhận một thùng dụng cụ thủy tinh thải thường lệ niêm phong từ Phòng Lab 2, do B. Keller bàn giao."
"DED_PROTO_Y_ST_TEODOR_WENT_TO_GYM_TEXT","Teodor: 'I left around quarter to nine and went straight to my spin class at Riverside.'","Teodor: 'Tôi rời đi khoảng chín giờ kém mười lăm và đến thẳng lớp đạp xe ở Riverside.'"
"DED_PROTO_Y_ST_TEODOR_CARD_IN_COAT_TEXT","Teodor: 'My key card lives in my lab-coat pocket.'","Teodor: 'Thẻ từ của tôi lúc nào cũng nằm trong túi áo blouse.'"
"DED_PROTO_Y_ST_PRIYA_NEVER_BORROWED_TEXT","Priya: 'I never touched any of Teodor's things.'","Priya: 'Tôi chưa từng động vào đồ của Teodor.'"
"DED_PROTO_Y_ST_PRIYA_VENT_ENTRY_TEXT","Priya: 'Someone obviously forced the vent hatch from the duct and crawled in.'","Priya: 'Rõ ràng có kẻ đã phá nắp thông gió từ trong ống gió rồi chui vào.'"
"DED_PROTO_Y_ST_BRUNO_LEFT_EARLY_TEXT","Bruno: 'I finished my round and left at twenty to nine.'","Bruno: 'Tôi làm xong ca và về lúc chín giờ kém hai mươi.'"
"DED_PROTO_Y_HYP_TEODOR_TEXT","Hypothesis: Teodor used his own key card to swap the sample.","Giả thuyết: Teodor đã dùng chính thẻ từ của mình để tráo mẫu."
"DED_PROTO_Y_HYP_BRUNO_TEXT","Hypothesis: Bruno smuggled the real sample out in the biohazard bin.","Giả thuyết: Bruno đã lén mang mẫu thật ra ngoài trong thùng rác sinh học."
"DED_PROTO_Y_HYP_OUTSIDER_TEXT","Hypothesis: an outsider crawled in through the vent hatch.","Giả thuyết: một người bên ngoài đã chui vào qua nắp thông gió."
"DED_PROTO_Y_EXP_WASTE_BIN_TEXT","Bruno's bin was the scheduled glassware waste, not the sample.","Thùng của Bruno là đợt chất thải thủy tinh theo lịch, không phải mẫu xét nghiệm."
"DED_PROTO_Y_DED_CARD_MISUSED_TEXT","Someone other than Teodor used Teodor's key card at 21:12.","Một người không phải Teodor đã dùng thẻ từ của Teodor lúc 21:12."
"DED_PROTO_Y_DED_PRIYA_BORROWED_CARD_TEXT","Priya borrowed Teodor's key card from the laundry rack before it was used and returned it afterwards.","Priya đã mượn thẻ từ của Teodor từ giá giặt áo trước khi thẻ được dùng, và trả lại sau đó."
"DED_PROTO_Y_DED_ONLY_PRIYA_HAD_CARD_TEXT","Only Priya could have presented Teodor's key card at 21:12: it was lent to her, she was the only person in the cold-store corridor, and a card can't be copied or used remotely.","Chỉ Priya mới có thể đã quẹt thẻ từ của Teodor lúc 21:12: thẻ được cho cô ta mượn, cô ta là người duy nhất trong hành lang kho lạnh, và thẻ không thể sao chép hay dùng từ xa."
"DED_PROTO_Y_DED_HATCH_STAGED_TEXT","The vent hatch was forced from inside the room, after someone had already walked to the sample rack, to fake an intrusion.","Nắp thông gió bị phá từ bên trong phòng, sau khi đã có người đi tới giá mẫu, nhằm dựng cảnh đột nhập."
"DED_PROTO_Y_CONCL_TEXT","Priya used Teodor's key card, in the lab coat she had borrowed from the laundry rack, to enter the cold room and swap the sample, then forced the vent hatch from inside to make it look like an intrusion.","Priya đã dùng thẻ từ của Teodor, trong chiếc áo blouse cô ta mượn từ giá giặt áo, để vào phòng lạnh tráo mẫu, rồi phá nắp thông gió từ bên trong để trông như có kẻ đột nhập."
"DED_PROTO_Y_TL_TEODOR_LEAVES_LABEL","Teodor leaves the lab building","Teodor rời tòa nhà phòng thí nghiệm"
"DED_PROTO_Y_TL_COAT_BORROWED_LABEL","Priya borrows Teodor's lab coat","Priya mượn áo blouse của Teodor"
"DED_PROTO_Y_TL_GYM_CHECKIN_LABEL","Teodor checks in at Riverside Gym","Teodor quẹt thẻ vào Riverside Gym"
"DED_PROTO_Y_TL_CARD_USED_LABEL","Teodor's key card opens the cold room","Thẻ từ của Teodor mở phòng lạnh"
"DED_PROTO_Y_TL_HATCH_FORCED_LABEL","The vent hatch is forced","Nắp thông gió bị phá"
"DED_PROTO_Y_TL_BIN_OUT_LABEL","Bruno takes the waste bin out","Bruno đẩy thùng rác ra ngoài"
"DED_PROTO_Y_TL_COAT_RETURNED_LABEL","Priya returns the lab coat","Priya trả lại áo blouse"
"DED_PROTO_Y_HINT_MISUSED_1","Ask yourself: where was Teodor at the moment his key card opened the cold room?","Hãy tự hỏi: Teodor đang ở đâu vào đúng lúc thẻ từ của anh mở phòng lạnh?"
"DED_PROTO_Y_HINT_MISUSED_2","Compare times, places, and how long it takes to travel between them.","Hãy so sánh thời gian, địa điểm, và thời gian cần để di chuyển giữa chúng."
"DED_PROTO_Y_HINT_MISUSED_3","The lock log, Teodor's gym check-in and the shuttle timetable belong together.","Nhật ký khóa, lượt vào phòng gym của Teodor và lịch xe đưa đón có liên quan với nhau."
"DED_PROTO_Y_HINT_MISUSED_4","Someone other than Teodor used his key card at 21:12.","Một người không phải Teodor đã dùng thẻ từ của anh lúc 21:12."
"DED_PROTO_Y_HINT_ACCESS_1","The key card wasn't in Teodor's hands. Whose hands could it have been in at 21:12, and nobody else's?","Thẻ từ không nằm trong tay Teodor. Lúc 21:12 nó có thể nằm trong tay ai, và không thể nằm trong tay người nào khác?"
"DED_PROTO_Y_HINT_ACCESS_2","Look at who had possession of the key card, where they were, and who else could have been there.","Hãy xem ai đang giữ thẻ từ, người đó ở đâu, và còn ai khác có thể có mặt ở đó."
"DED_PROTO_Y_HINT_ACCESS_3","Compare the laundry sheet with the cold-store corridor camera log.","Hãy đối chiếu sổ giặt áo với nhật ký camera hành lang kho lạnh."
"DED_PROTO_Y_HINT_ACCESS_4","Start from what the lock record already proves: someone other than Teodor used the card at 21:12.","Hãy bắt đầu từ điều nhật ký khóa đã chứng minh: một người không phải Teodor đã dùng thẻ lúc 21:12."
"DED_PROTO_Y_HINT_STAGED_1","What does the forced hatch actually tell you about how someone got in?","Nắp thông gió bị phá thực sự cho bạn biết gì về cách một người đã vào phòng?"
"DED_PROTO_Y_HINT_STAGED_2","Look closely at the scene, and at what the maintenance diagram says about forced hatches.","Hãy quan sát kỹ hiện trường và xem sơ đồ bảo trì nói gì về nắp bị phá."
"DED_PROTO_Y_HINT_STAGED_3","The forced hatch, the maintenance diagram and the bent tabs belong together.","Nắp bị phá, sơ đồ bảo trì và các lẫy bị cong có liên quan với nhau."
"DED_PROTO_Y_HINT_STAGED_4","The hatch was forced from inside to fake an intrusion.","Nắp thông gió bị phá từ bên trong để dựng cảnh đột nhập."
"DED_PROTO_Y_HINT_CULPRIT_1","Who swapped the sample, and what did they do to hide how?","Ai đã tráo mẫu, và họ đã làm gì để che giấu cách làm?"
"DED_PROTO_Y_HINT_CULPRIT_2","Combine who alone could have used the means of entry with what was staged at the scene.","Hãy kết hợp việc ai là người duy nhất có thể dùng phương tiện ra vào với những gì được dàn dựng tại hiện trường."
"DED_PROTO_Y_HINT_CULPRIT_3","The corridor camera log and the bent tabs point the same way.","Nhật ký camera hành lang và các lẫy bị cong cùng chỉ về một hướng."
"DED_PROTO_Y_HINT_CULPRIT_4","Only Priya could have presented Teodor's key card at 21:12.","Chỉ Priya mới có thể đã quẹt thẻ từ của Teodor lúc 21:12."
"DED_PROTO_Y_TRUTH_SUMMARY","Teodor left at 20:45, leaving his lab coat with the key card in the pocket. Priya borrowed it at 20:55, entered the cold-store corridor alone at 20:59, used the card at 21:12 to swap the sample, forced the vent hatch from inside at 21:14, left the corridor at 21:20 and returned the coat at 21:25. Bruno's bin was routine glassware waste; he lied about leaving early to hide a long unauthorized break.","Teodor rời đi lúc 20:45, để lại áo blouse có thẻ từ trong túi. Priya mượn áo lúc 20:55, một mình vào hành lang kho lạnh lúc 20:59, dùng thẻ lúc 21:12 để tráo mẫu, phá nắp thông gió từ bên trong lúc 21:14, rời hành lang lúc 21:20 rồi trả áo lúc 21:25. Thùng của Bruno chỉ là chất thải thủy tinh thường lệ; anh nói dối là về sớm để che giấu một lần nghỉ dài không được phép."
"DED_PROTO_Y_PROTOA_EXP_DENIAL","Priya said she never borrowed anything — but the laundry sheet shows she personally borrowed Teodor's coat, key card included, at 20:55 and returned it at 21:25. A signed record puts it in her hands for half an hour.","Priya nói cô chưa từng mượn thứ gì — nhưng sổ ghi ở giá phơi đồ cho thấy chính cô đã mượn áo khoác của Teodor, có cả thẻ từ trong túi, lúc 20:55 và trả lại lúc 21:25. Bản ghi có chữ ký đặt nó vào tay cô suốt nửa tiếng đồng hồ."
"DED_PROTO_Y_PROTOA_RESP_DENIAL","Priya's composure slips. 'Fine — I borrowed the coat. That doesn't mean I used the card.'","Vẻ bình tĩnh của Priya chùng xuống. 'Được rồi — tôi có mượn áo khoác. Nhưng điều đó không có nghĩa là tôi đã dùng thẻ.'"
"DED_PROTO_Y_PROTOA_HINT_DENIAL_1","Priya insists she never borrowed anything. Is there a written record of who borrowed the coat?","Priya khăng khăng rằng cô chưa từng mượn thứ gì. Có bản ghi chép nào về việc ai đã mượn áo khoác không?"
"DED_PROTO_Y_PROTOA_HINT_DENIAL_2","Look for a log about items borrowed and returned at the laundry rack.","Tìm một cuốn sổ ghi lại việc đồ vật được mượn và trả lại ở giá phơi đồ."
"DED_PROTO_Y_PROTOA_HINT_DENIAL_3","Review the laundry sheet.","Xem lại sổ ghi ở giá phơi đồ."
"DED_PROTO_Y_PROTOA_HINT_DENIAL_4","The laundry sheet shows Priya herself borrowed the coat — with Teodor's key card still in the pocket — under her own name.","Sổ ghi ở giá phơi đồ cho thấy chính Priya đã mượn áo khoác — vẫn còn thẻ từ của Teodor trong túi — dưới tên của mình."
"DED_PROTO_Y_PROTOA_EXP_VENT","Priya claims someone forced the vent hatch from inside the duct — but the hatch inspection shows the dust from forcing it settled on top of fresh scuff marks already leading to the sample rack. Those scuffs existed before the hatch was forced, so someone was already inside walking toward the rack beforehand. Nobody broke in through the duct; the hatch was forced afterward, from inside the cold-store corridor, to look like an outside entry.","Priya khẳng định có kẻ lạ đã phá nắp thông gió từ trong đường ống — nhưng khi kiểm tra nắp thông gió, lớp bụi từ việc phá nắp lại rơi đè lên những vết trầy đã có sẵn dẫn đến giá mẫu. Những vết trầy đó đã tồn tại trước khi nắp bị phá, nghĩa là đã có người ở bên trong đi về phía giá mẫu từ trước. Không ai đột nhập qua đường ống cả; nắp thông gió bị phá sau đó, từ bên trong hành lang kho lạnh, để tạo cảm giác như có người đột nhập."
"DED_PROTO_Y_PROTOA_RESP_VENT","Priya's voice wavers. 'The scuffs — that proves nothing!' It very much does.","Giọng Priya run lên. 'Mấy vết trầy đó — điều đó chẳng chứng minh được gì cả!' Trên thực tế thì có."
"DED_PROTO_Y_PROTOA_HINT_VENT_1","Priya says someone forced their way in through the vent hatch. Look closely at the order things happened at that hatch.","Priya nói có kẻ lạ đã phá nắp thông gió để đột nhập. Hãy xem kỹ trình tự các việc đã xảy ra ở nắp thông gió đó."
"DED_PROTO_Y_PROTOA_HINT_VENT_2","Compare when the scuff marks were left to when the hatch was actually forced.","So sánh thời điểm để lại vết trầy với thời điểm nắp thông gió thực sự bị phá."
"DED_PROTO_Y_PROTOA_HINT_VENT_3","Review the hatch inspection.","Xem lại kết quả kiểm tra nắp thông gió."
"DED_PROTO_Y_PROTOA_HINT_VENT_4","The dust from forcing the hatch lies on top of scuff marks that were already there — the hatch was forced after someone had already walked to the rack, not before.","Lớp bụi từ việc phá nắp thông gió lại nằm đè lên những vết trầy đã có từ trước — nắp bị phá sau khi có người đã đi đến giá mẫu, chứ không phải trước đó."
"DED_PROTO_Y_PROTOA_EXP_BRUNO","Bruno claimed he left early — but the waste contractor's manifest shows he personally wheeled the bin out at about 21:18, well after he says he'd already gone.","Bruno khai rằng anh đã về sớm — nhưng bản kê của nhà thầu chất thải cho thấy chính anh đã đẩy thùng ra lúc khoảng 21:18, rất lâu sau khi anh nói mình đã rời đi."
"DED_PROTO_Y_PROTOA_RESP_BRUNO","Bruno winces. 'Alright — I was taking a long break I wasn't supposed to. I didn't want it on record.' It has nothing to do with the sample.","Bruno nhăn mặt. 'Được rồi — tôi đã nghỉ giải lao dài mà không được phép. Tôi không muốn chuyện đó bị ghi lại.' Điều này chẳng liên quan gì đến mẫu vật."
"DED_PROTO_Y_PROTOA_COMPLETION","Priya's testimony falls apart on both counts: the laundry sheet puts Teodor's key card in her hands, and the vent hatch was staged from inside after she'd already been at the rack. Her story of never borrowing the coat and of an outside entry through the duct are both exposed as lies.","Lời khai của Priya sụp đổ ở cả hai điểm: sổ ghi ở giá phơi đồ đặt chiếc thẻ từ của Teodor vào tay cô, còn nắp thông gió lại được dàn dựng từ bên trong sau khi cô đã có mặt ở giá mẫu. Cả câu chuyện 'chưa từng mượn áo khoác' lẫn 'có kẻ đột nhập qua đường ống' của cô đều bị vạch trần là dối trá."
"DED_PROTO_Z_NAME","[Prototype Z] The Switched Parcel","[Nguyên mẫu Z] Kiện Hàng Bị Đánh Tráo"
"DED_PROTO_Z_DESC","Non-canon dummy mystery for deduction playtests. A sealed parcel at the customs depot was switched just before dispatch.","Vụ án giả lập không thuộc cốt truyện, chỉ dùng để thử nghiệm suy luận. Một kiện hàng đã niêm phong tại kho hải quan bị đánh tráo ngay trước khi xuất đi."
"DED_PROTO_Z_SUS_NADIA_NAME","Nadia Okafor (customs inspector)","Nadia Okafor (thanh tra hải quan)"
"DED_PROTO_Z_SUS_FELIX_NAME","Felix Moreau (freight agent)","Felix Moreau (đại lý vận chuyển)"
"DED_PROTO_Z_SUS_GUS_NAME","Gus Hale (forklift driver)","Gus Hale (tài xế xe nâng)"
"DED_PROTO_Z_Q_OWNER_TEXT","Could Nadia have used her own seal scanner at 06:42?","Liệu Nadia có thể đã tự dùng máy quét niêm phong của mình lúc 06:42 không?"
"DED_PROTO_Z_Q_ACCESS_TEXT","Who could have used Nadia's scanner at 06:42?","Ai có thể đã dùng máy quét của Nadia lúc 06:42?"
"DED_PROTO_Z_Q_STAGING_TEXT","What does the cut fence really show?","Hàng rào bị cắt thực sự cho thấy điều gì?"
"DED_PROTO_Z_Q_CULPRIT_TEXT","Who switched the parcel, and how was it covered up?","Ai đã đánh tráo kiện hàng, và việc đó đã được che đậy thế nào?"
"DED_PROTO_Z_E_SEAL_REGISTRY_NAME","Seal registry entry","Mục ghi trong sổ niêm phong"
"DED_PROTO_Z_E_SEAL_REGISTRY_TEXT","Seal registry: Nadia Okafor's handheld scanner applied a fresh seal to parcel 118, inside the parcel cage area, at 06:42. A scanner works only when held against the seal; it cannot be copied or operated remotely.","Sổ niêm phong: máy quét cầm tay của Nadia Okafor đã dán niêm phong mới cho kiện hàng 118, nằm trong khu lồng chứa, lúc 06:42. Máy quét chỉ hoạt động khi áp trực tiếp vào niêm phong; máy không thể sao chép hay điều khiển từ xa."
"DED_PROTO_Z_E_FERRY_GATE_NAME","Ferry gate record","Dữ liệu cổng lên phà"
"DED_PROTO_Z_E_FERRY_GATE_TEXT","Ferry gate: Nadia's ticket was scanned boarding at North Pier at 06:38. Boarding staff checked Nadia's own photo ID against the ticket.","Cổng lên phà: vé của Nadia được quét khi lên phà tại Bến Bắc lúc 06:38. Nhân viên soát vé đã đối chiếu giấy tờ có ảnh của chính Nadia với vé."
"DED_PROTO_Z_E_FERRY_PHOTO_NAME","Photo sent to her sister","Ảnh gửi cho em gái"
